ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
69.169.190.211,,29933,OFF-CAMPUS-TELECOMMUNICATIONS,US,Payson,PowerDNS Recursor 4.1.1,,false,1.00,2021-05-17T15:30:44Z,2021-02-12T16:06:53Z
69.28.104.5,ns2.telekenex.com.,32035,CCDT-AS,US,,,,false,0.97,2021-05-13T03:34:19Z,2021-02-12T16:07:43Z
69.60.160.196,Edelta.DADNS.america.net.,4452,AMERICA,US,Gordon,,,false,0.87,2021-05-20T08:46:00Z,2021-02-12T16:09:30Z
69.60.160.203,edelta2.DADNS.america.net.,4452,AMERICA,US,Gordon,9.10.2-P3,,false,0.86,2021-05-20T13:46:01Z,2021-02-12T16:09:32Z
211.63.64.11,ns1.haninternet.net.,38661,purplestones,KR,,secure! ,,false,0.75,2021-05-03T22:25:16Z,2021-02-12T16:21:06Z
202.182.0.1,,38888,"Milcom Co., Ltd. Internet Service Provider Bangkok",TH,,,,false,0.87,2021-05-03T22:24:38Z,2021-02-12T16:29:25Z
80.254.77.39,riv1-ns01.monzoon.net.,24889,Monzoon Networks AG,CH,Biel/Bienne,,,true,1.00,2021-05-20T11:52:17Z,2021-02-12T16:31:23Z
202.62.224.2,ortelcom.com.,23772,M/s Ortel Communications Ltd,IN,,Microsoft DNS 6.1.7600 (1DB04001),,false,0.80,2021-05-03T22:24:53Z,2021-02-12T16:39:13Z
62.134.11.4,dns-muc.de.ignite.net.,5400,British Telecommunications PLC,GB,,,,false,0.84,2021-05-03T22:24:25Z,2021-02-12T16:55:35Z
203.119.36.106,nscache2.vnnic.net.vn.,24066,Vietnam Internet Network Information Center,VN,,Hum....m,,true,1.00,2021-04-23T22:24:56Z,2021-02-12T16:57:26Z
213.115.226.2,ns1.gns.se.,2119,Telenor Norge AS,SE,Balsta,,,false,0.62,2021-05-03T22:25:01Z,2021-02-12T17:00:24Z
203.143.0.25,lanka-com1.lankacom.net.,5087,Lanka Communication Services,LK,Colombo,9.11.4-P2-RedHat-9.11.4-16.P2.el7_8.6,,true,1.00,2021-04-01T05:35:49Z,2021-02-12T17:01:44Z
203.146.237.237,ns01.csloxinfo.com.,4750,CS LOXINFO PUBLIC COMPANY LIMITED,TH,Bangkok,CSLoxinfo,,false,1.00,2021-05-03T22:25:42Z,2021-02-12T17:02:15Z
87.117.196.200,,20860,Iomart Cloud Services Limited,GB,Chelmsford,,,false,1.00,2021-05-17T15:30:42Z,2021-02-12T17:05:09Z
63.246.63.142,cache1.geusnet.com.,15054,OMEGA-TX,US,Greenville,9.8.2rc1-RedHat-9.8.2-0.68.rc1.el6_10.1,,false,0.55,2021-05-03T22:23:59Z,2021-02-12T17:14:38Z
94.158.96.2,dns1.butovonet.ru.,48036,OOO Scientific-Production Enterprise Edma,RU,Moscow,9.8.4-rpz2+rl005.12-P1,,false,1.00,2021-05-03T22:25:01Z,2021-02-12T17:18:50Z
213.244.72.31,gns.paltel.net.,12975,Palestine Telecommunications Company (PALTEL),PS,,9.11.4-P2-RedHat-9.11.4-9.P2.el7,,false,1.00,2021-05-03T22:24:41Z,2021-02-12T17:19:20Z
213.52.192.198,re1.lon7.telecity.net.,15830,Telecitygroup International Limited,GB,,not currently available,,false,0.95,2021-04-01T05:36:19Z,2021-02-12T17:21:18Z
64.233.217.2,try11-dns1.try.wideopenwest.com.,12083,WOW-INTERNET,US,Saint Clair Shores,9.11.2-P1,,true,1.00,2021-05-03T22:25:02Z,2021-02-12T17:25:24Z
64.238.96.12,dns.atl.cbeyond.com.,17184,ATL-CBEYOND,US,Atlanta,PowerDNS Recursor 4.0.7 (built Nov 27 2017 12:03:02 by root@25912ad58088),,false,1.00,2021-05-03T22:25:02Z,2021-02-12T17:25:38Z
64.80.255.251,,7029,WINDSTREAM,US,North Andover,SERVFAIL,,false,1.00,2021-05-13T03:34:07Z,2021-02-12T17:33:53Z
185.161.112.33,fw1.parvazsys.ir.,50057,Parvaz System Information Technology Company (Ltd),IR,,9.11.3-1ubuntu1.15-Ubuntu,,false,0.86,2021-05-03T22:25:03Z,2021-03-04T05:42:19Z
185.161.112.34,fw2.parvazsys.ir.,50057,Parvaz System Information Technology Company (Ltd),IR,,9.11.3-1ubuntu1.15-Ubuntu,,false,0.97,2021-05-03T22:25:03Z,2021-03-08T04:28:44Z
201.217.41.78,mail.senado.gov.py.,27768,CO.PA.CO.,PY,Asunción,9.11.4-P2-RedHat-9.11.4-9.P2.el7,,false,1.00,2021-05-03T22:23:53Z,2021-03-14T21:59:58Z
201.222.48.206,host206.teisa.com.py.,28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),PY,Asunción,,,false,0.59,2021-05-20T11:52:31Z,2021-03-14T23:11:50Z
201.222.50.30,mail.seprelad.gov.py.,28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),PY,Asunción,,,false,0.88,2021-04-23T22:24:56Z,2021-03-14T23:12:08Z
201.222.52.6,mail.britam.com.py.,28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),PY,Asunción,dnsmasq-2.76,,false,0.82,2021-05-03T22:25:08Z,2021-03-14T23:12:38Z
201.222.52.126,host126.teisa.com.py.,28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),PY,Asunción,,,false,0.86,2021-05-03T22:23:58Z,2021-03-14T23:12:44Z
201.222.55.246,host246.teisa.com.py.,28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),PY,Asunción,,,false,0.76,2021-05-03T22:24:42Z,2021-03-14T23:13:44Z
203.198.68.197,197.68.198.203.static.netvigator.com.,4515,HKT Limited,HK,Central,,,false,1.00,2021-05-03T22:24:29Z,2021-03-15T08:20:14Z
198.54.117.10,safeservedns.com.,22612,NAMECHEAP-NET,US,,,,true,0.99,2021-05-20T11:52:14Z,2021-03-16T08:48:31Z
5.2.75.75,nl.ahadns.net.,60404,The Infrastructure Group B.V.,NL,,,,true,1.00,2021-05-03T22:24:40Z,2021-03-19T15:57:29Z
2a04:52c0:101:75::75,nl.ahadns.net.,60404,The Infrastructure Group B.V.,NL,Dronten,,,true,1.00,2021-05-03T22:25:14Z,2021-03-19T15:57:29Z
45.67.219.208,la.ahadns.net.,63473,HOSTHATCH,US,Los Angeles,,,true,1.00,2021-04-23T22:24:55Z,2021-03-19T15:57:36Z
185.213.26.187,ny.ahadns.net.,63473,HOSTHATCH,US,New York,,,true,1.00,2021-05-24T07:46:21Z,2021-03-19T15:57:38Z
2a0d:5600:33:3::3,ny.ahadns.net.,63473,HOSTHATCH,RO,,,,true,1.00,2021-05-03T22:24:26Z,2021-03-19T15:57:38Z
202.138.120.86,ns1.relianceada.com.,18101,Reliance Communications Ltd.DAKC MUMBAI,IN,,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2021-04-23T22:24:56Z,2021-03-20T17:45:15Z
94.176.233.93,dns.comss.one.,62282,UAB Rakrejus,LT,Vilnius,,,true,0.95,2021-05-03T22:25:18Z,2021-03-26T09:02:23Z
159.69.114.157,fdns2.dismail.de.,24940,Hetzner Online GmbH,DE,,,,true,1.00,2021-05-17T21:56:27Z,2021-03-28T20:42:38Z
2a01:4f8:c17:739a::2,fdns2.dismail.de.,24940,Hetzner Online GmbH,DE,,,,true,1.00,2021-05-03T22:25:01Z,2021-03-28T20:42:38Z
2a10:50c0::1:ff,dns-unfiltered.adguard.com.,212772,AdGuard Software Limited,CY,,,,true,0.93,2021-05-03T22:25:05Z,2021-03-28T20:47:28Z
130.225.244.166,deic-lgb.anycast.censurfridns.dk.,1835,Danish network for Research and Education,DK,Copenhagen,9.11.29+dampening,,true,1.00,2021-05-17T21:56:19Z,2021-03-28T20:59:31Z
130.226.161.34,deic-ore.anycast.censurfridns.dk.,1835,Danish network for Research and Education,DK,Kongens Lyngby,9.11.29+dampening,,true,1.00,2021-05-03T22:24:36Z,2021-03-28T20:59:32Z
185.38.27.139,,62113,Kracon ApS,DK,,9.11.29+dampening,,true,1.00,2021-04-23T22:25:24Z,2021-03-28T20:59:33Z
2a00:fbe0:1:3802::3,,62113,Kracon ApS,DK,,9.11.29+dampening,,true,1.00,2021-05-03T22:24:25Z,2021-03-28T20:59:33Z
198.180.150.12,rgnet-iad.anycast.censurfridns.dk.,3927,RGnet OU,EE,,9.11.29+dampening,,true,0.98,2021-05-03T22:23:53Z,2021-03-28T20:59:36Z
2001:418:8006::12,rgnet-iad.anycast.censurfridns.dk.,3927,RGnet OU,US,,9.11.29+dampening,,true,0.99,2021-04-23T22:24:55Z,2021-03-28T20:59:37Z
2a00:f826:8:2::195,,200462,Lennart Seitz,DE,,BIND,,true,1.00,2021-05-06T19:38:17Z,2021-03-28T21:03:36Z
2a03:4000:4d:c92:88c0:96ff:fec6:b9d,mail.morbitzer.de.,197540,netcup GmbH,DE,,,,false,1.00,2021-05-06T19:38:16Z,2021-03-28T21:03:36Z
